,days_difference,sectionId,averageTicketPrice
0,134.312255859375,23273,258.3299865722656
1,134.312255859375,23263,341.8500061035156
2,134.312255859375,23259,640.7650146484375
3,134.312255859375,23233,593.032470703125
4,134.312255859375,23249,325.79998779296875
5,134.312255859375,23305,172.66799926757812
6,134.312255859375,23317,177.47181701660156
7,134.312255859375,23297,216.7133331298828
8,134.312255859375,23314,195.53334045410156
9,134.312255859375,23236,1504.93603515625
10,134.312255859375,23245,841.714599609375
11,134.312255859375,23265,212.59500122070312
12,134.312255859375,23288,254.20428466796875
13,134.312255859375,23258,608.8399658203125
14,134.312255859375,23243,447.281982421875
15,134.312255859375,23218,12174.75
16,134.312255859375,23271,383.4620056152344
17,134.312255859375,23235,517.3399658203125
18,134.312255859375,23275,253.69699096679688
19,134.312255859375,23290,255.70599365234375
20,134.312255859375,23277,306.10198974609375
21,134.312255859375,23239,354.7850036621094
22,134.312255859375,23244,614.030029296875
23,134.312255859375,23316,183.0316619873047
24,134.312255859375,23298,207.36000061035156
25,134.312255859375,23228,910.7900390625
26,134.312255859375,23283,286.1166687011719
27,134.312255859375,23247,874.9609375
28,134.312255859375,23229,512.780029296875
29,134.312255859375,23289,162.24110412597656
30,134.312255859375,23300,202.37889099121094
31,134.312255859375,23240,415.32000732421875
32,134.312255859375,23281,314.8599853515625
33,134.312255859375,1889081,255.3699951171875
34,134.312255859375,23462,243.3300018310547
35,134.312255859375,23296,293.3380126953125
36,134.312255859375,23315,134.4875030517578
37,134.312255859375,23294,251.0050048828125
38,134.312255859375,23437,258.70001220703125
39,134.312255859375,23299,186.875
40,134.312255859375,23278,275.01666259765625
41,134.312255859375,23272,246.12777709960938
42,134.312255859375,23256,244.5749969482422
43,134.312255859375,23242,378.3563537597656
44,134.312255859375,23250,366.30712890625
45,134.312255859375,23285,222.45050048828125
46,134.312255859375,23234,470.6166687011719
47,134.312255859375,23255,367.99713134765625
48,134.312255859375,23301,182.10777282714844
49,134.312255859375,23254,1079.66064453125
50,134.312255859375,23237,1123.789306640625
51,134.312255859375,23264,352.9324951171875
52,134.312255859375,23439,1659.9549560546875
53,134.312255859375,23246,1023.7866821289062
54,134.312255859375,23260,625.5875244140625
55,134.312255859375,23266,661.280029296875
56,134.312255859375,23270,444.45001220703125
57,134.312255859375,23268,1113.568359375
58,134.312255859375,23394,4763.25
59,134.312255859375,23307,181.47000122070312
60,134.312255859375,23276,280.67999267578125
61,134.312255859375,23274,314.66571044921875
