Time,Time_Diff,Zone_Section_Id,Zone_Name,Total_Tickets,Average_Price,Zone_Section_Total_Tickets,Zone_Section_Average_Price,Zone_Section_Min_Price,Zone_Section_Max_Price,Zone_Section_Std,Wins,Losses,L_10,Section_Median,Total_Listings,Zone_Section_Num_Listings,Data_Type,Event_Id
2017-03-16 03:20:57,195.950717593,250164,Executive Club,13090,216.11988268418563,10,98.872000000000014,95.26,109.3,5.5650404311199742,NA,NA,NA,97.269999999999996,2131,4,2,9714453
2017-03-16 03:20:57,195.950717593,250166,Infield Box,13090,216.11988268418563,340,138.51041176470585,72.89,793.75,114.15043177636962,NA,NA,NA,91.0,2131,79,2,9714453
2017-03-16 03:20:57,195.950717593,250167,Infield Loge Box,13090,216.11988268418563,190,68.769157894736836,51.93,301.47,37.570384352039845,NA,NA,NA,62.280000000000001,2131,50,2,9714453
2017-03-16 03:20:57,195.950717593,250168,Infield Reserve,13090,216.11988268418563,1062,46.120612052730692,14.02,202.9,52.321218349728831,NA,NA,NA,29.010000000000002,2131,125,2,9714453
2017-03-16 03:20:57,195.950717593,250171,Preferred Field Box,13090,216.11988268418563,289,72.375674740484428,44.81,314.05,70.439492169946831,NA,NA,NA,50.909999999999997,2131,50,2,9714453
2017-03-16 03:20:57,195.950717593,250172,Preferred Loge Box,13090,216.11988268418563,144,40.002777777777773,25.05,77.71,14.411893132152615,NA,NA,NA,33.479999999999997,2131,41,2,9714453
2017-03-16 03:20:57,195.950717593,250173,Preferred Reserve,13090,216.11988268418563,882,23.058832199546483,11.61,413.5,53.468048932620604,NA,NA,NA,17.100000000000001,2131,101,2,9714453
2017-03-16 03:20:57,195.950717593,250174,Reserve MVP,13090,216.11988268418563,669,76.310463378176379,26.1,548.05,115.53439972742088,NA,NA,NA,50.799999999999997,2131,99,2,9714453
2017-03-16 03:20:57,195.950717593,250175,Reserve VIP,13090,216.11988268418563,127,133.02771653543309,34.42,653.98,151.9639236330041,NA,NA,NA,48.18,2131,32,2,9714453
2017-03-16 03:20:57,195.950717593,250177,Top Deck,13090,216.11988268418563,679,56.728350515463923,12.35,5678.5,606.41192550239509,NA,NA,NA,21.285,2131,86,2,9714453
2017-03-16 03:20:57,195.950717593,252231,Baseball Club Preferred,13090,216.11988268418563,40,283.62349999999998,232.14,352.66,48.658235078681415,NA,NA,NA,270.17500000000001,2131,12,2,9714453
2017-03-16 03:20:57,195.950717593,252233,Executive Club Value,13090,216.11988268418563,4,79.709999999999994,79.71,79.71,0.0,NA,NA,NA,79.709999999999994,2131,1,2,9714453
2017-03-16 03:20:57,195.950717593,252234,Field Box Front Row VIP,13090,216.11988268418563,16,246.44875000000002,198.86,297.93,35.449887987599247,NA,NA,NA,233.905,2131,6,2,9714453
2017-03-16 03:20:57,195.950717593,252235,Field Box MVP,13090,216.11988268418563,322,195.51316770186338,89.62,1168.15,226.60098922057699,NA,NA,NA,109.3,2131,73,2,9714453
2017-03-16 03:20:57,195.950717593,252236,Field Box VIP,13090,216.11988268418563,189,216.00761904761899,130.59,1172.83,167.08504737780302,NA,NA,NA,197.05000000000001,2131,61,2,9714453
2017-03-16 03:20:57,195.950717593,252237,Infield Box Front Row,13090,216.11988268418563,18,195.61777777777777,138.54,263.74,41.418695102574155,NA,NA,NA,179.5,2131,5,2,9714453
2017-03-16 03:20:57,195.950717593,252238,Infield Box Value,13090,216.11988268418563,290,104.72462068965514,48.17,725.89,167.2304028129852,NA,NA,NA,72.269999999999996,2131,61,2,9714453
2017-03-16 03:20:57,195.950717593,252239,Infield Box Value Front Row,13090,216.11988268418563,107,126.63962616822432,43.74,1120.18,222.69654496432941,NA,NA,NA,88.180000000000007,2131,22,2,9714453
2017-03-16 03:20:57,195.950717593,252240,Infield Box Value VIP,13090,216.11988268418563,48,102.42041666666667,60.14,725.89,180.02687769044994,NA,NA,NA,73.305000000000007,2131,12,2,9714453
2017-03-16 03:20:57,195.950717593,252241,Infield Box VIP,13090,216.11988268418563,34,126.99588235294117,90.97,200.92,40.02750505589875,NA,NA,NA,126.95,2131,10,2,9714453
2017-03-16 03:20:57,195.950717593,252242,Infield Loge Box Front Row,13090,216.11988268418563,10,112.80999999999999,103.45,119.83,7.6498676459138792,NA,NA,NA,110.47,2131,4,2,9714453
2017-03-16 03:20:57,195.950717593,252243,Infield Loge Box Value,13090,216.11988268418563,232,65.949439655172412,52.24,142.25,18.051212733774982,NA,NA,NA,63.68,2131,50,2,9714453
2017-03-16 03:20:57,195.950717593,252244,Infield Loge Box Value Front Row,13090,216.11988268418563,27,191.30148148148146,79.99,725.89,233.21950201949713,NA,NA,NA,100.95,2131,6,2,9714453
2017-03-16 03:20:57,195.950717593,252245,Infield Loge Box Value VIP,13090,216.11988268418563,58,141.29431034482758,61.96,725.89,196.36208752200611,NA,NA,NA,71.460000000000008,2131,10,2,9714453
