Time,Time_Diff,Zone_Section_Id,Zone_Name,Total_Tickets,Average_Price,Zone_Section_Total_Tickets,Zone_Section_Average_Price,Zone_Section_Min_Price,Zone_Section_Max_Price,Zone_Section_Std,Wins,Losses,L_10,Section_Median,Total_Listings,Zone_Section_Num_Listings,Data_Type,Event_Id
2017-03-16 02:31:11,64.8568055556,46976,Eutaw St Bleachers,3092,68.93731942215089,15,58.095333333333336,54.25,62.49,4.120000000000001,NA,NA,NA,58.370000000000005,623,2,2,9715909
2017-03-16 02:31:11,64.8568055556,46977,Field Box,3092,68.93731942215089,462,94.29889610389607,56.03,588.99,54.109147262502127,NA,NA,NA,84.865000000000009,623,122,2,9715909
2017-03-16 02:31:11,64.8568055556,46978,LF All-Inclusive Picnic Perch,3092,68.93731942215089,9,127.40333333333332,68.35,334.09,132.86999999999998,NA,NA,NA,201.21999999999997,623,2,2,9715909
2017-03-16 02:31:11,64.8568055556,46979,LF Club Box,3092,68.93731942215089,7,49.630000000000003,49.63,49.63,0.0,NA,NA,NA,49.630000000000003,623,1,2,9715909
2017-03-16 02:31:11,64.8568055556,46980,LF Lower Box,3092,68.93731942215089,209,69.972775119617225,34.42,1244.2,175.61111280832128,NA,NA,NA,50.215000000000003,623,46,2,9715909
2017-03-16 02:31:11,64.8568055556,46982,LF Upper Reserve,3092,68.93731942215089,119,23.970588235294112,21.53,27.33,1.8823160969637609,NA,NA,NA,23.280000000000001,623,6,2,9715909
2017-03-16 02:31:11,64.8568055556,46983,Lower Box,3092,68.93731942215089,294,62.134149659863944,36.76,167.8,22.344600678942218,NA,NA,NA,56.649999999999999,623,76,2,9715909
2017-03-16 02:31:11,64.8568055556,46984,Lower Infield Reserve,3092,68.93731942215089,384,50.495989583333348,23.89,262.34,30.82174379908324,NA,NA,NA,44.950000000000003,623,56,2,9715909
2017-03-16 02:31:11,64.8568055556,264073,Field Box 2,3092,68.93731942215089,141,82.043191489361703,50.8,379.55,57.149434248849566,NA,NA,NA,69.519999999999996,623,31,2,9715909
2017-03-16 02:31:11,64.8568055556,264074,Club Box 2,3092,68.93731942215089,39,118.96128205128204,58.99,365.19,119.5795336334776,NA,NA,NA,70.689999999999998,623,5,2,9715909
2017-03-16 02:31:11,64.8568055556,46990,Terrace Box,3092,68.93731942215089,164,51.346280487804883,32.64,88.77,10.615485177513866,NA,NA,NA,51.384999999999998,623,38,2,9715909
